nsites,chemsys,volume,density,density_atomic,energy_per_atom,formation_energy_per_atom,is_stable,band_gap,cbm,vbm,efermi,is_gap_direct,is_metal,is_magnetic,ordering,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units,crystal_system,a,b,c,alpha,beta,gamma,element_1,element_2,element_3,atomic_num1,atomic_num2,atomic_num3
5,Ac-Al-O,57.45141324,8.728230082,11.49028265,-8.232146192,-3.687437791,TRUE,4.1024,10.906,6.8036,6.94886555,TRUE,FALSE,FALSE,NM,0,0,0,Cubic,3.85863387,3.85863387,3.85863387,90,90,90,Ac,Al,O,89,13,8
5,Ac-B-O,51.54812641,9.206878606,10.30962528,-21.07904575,-2.305888713,FALSE,0.8071,7.7035,6.8964,7.0377947,FALSE,FALSE,FALSE,NM,0.0001327,2.57E-06,0.0001327,Cubic,3.721668,3.721668,3.721668,90,90,90,Ac,B,O,89,5,8
5,Ac-Cr-O,61.36284504,8.848788047,12.27256901,-8.862593228,-3.136390499,TRUE,2.0031,8.2567,6.2536,6.3647368,FALSE,FALSE,TRUE,FM,2.9999997,0.04888951446,2.9999997,Cubic,3.9442869,3.94430226,3.9442715,90,90,90,Ac,Cr,O,89,24,8
5,Ac-Cu-O,59.92938666,9.380470938,11.98587733,-21.77759866,-2.304353263,TRUE,0,,,6.21128354,FALSE,TRUE,FALSE,NM,1.60E-06,2.67E-08,1.60E-06,Cubic,3.91333125,3.91333125,3.91333125,90,90,90,Ac,Cu,O,89,29,8
5,Ac-Fe-O,61.79731063,8.889999466,12.35946213,-8.258555312,-2.768957835,TRUE,0.9888,7.4875,6.4987,6.50904465,FALSE,FALSE,TRUE,FM,4.2542759,0.06884241169,4.2542759,Cubic,3.95356962,3.9535675,3.95358451,90.00009246,90,90,Ac,Fe,O,89,26,8
5,Ac-Ga-O,61.45507829,9.314495003,12.29101566,-22.57748841,-2.985047019,TRUE,2.8959,8.1819,5.286,5.47693479,FALSE,FALSE,FALSE,NM,0,0,0,Cubic,3.94626209,3.94626209,3.94626209,90,90,90,Ac,Ga,O,89,31,8
5,Ac-Mg-O,64.78375373,7.671748359,12.95675075,-7.120950934,-2.999263696,FALSE,0,,,4.93706474,FALSE,TRUE,TRUE,FM,1.0000029,0.01543601354,1.0000029,Cubic,4.016262,4.016262,4.016262,90,90,90,Ac,Mg,O,89,12,8
5,Ac-Mn-O,62.24139883,8.802373253,12.44827977,-8.599044686,-2.971048393,TRUE,0,,,6.56012414,FALSE,TRUE,TRUE,FM,3.9999934,0.06426580178,3.9999934,Cubic,3.96302168,3.96302168,3.96302168,90,90,90,Ac,Mn,O,89,25,8
5,Ac-Ni-O,58.3582178,9.494942767,11.67164356,-7.404515516,-2.452894945,TRUE,0,,,6.06375679,FALSE,TRUE,FALSE,NM,2.60E-06,4.46E-08,2.60E-06,Cubic,3.87883955,3.87883649,3.87881202,90,90,90,Ac,Ni,O,89,28,8
5,Ac-O-Pd,66.68667374,9.497547055,13.33733475,-24.01906715,-2.123090226,TRUE,0,,,5.56064999,FALSE,TRUE,FALSE,NM,1.89E-05,2.83E-07,1.89E-05,Cubic,4.05520794,4.05520691,4.05520589,90,90,90,Ac,O,Pd,89,8,46
5,Ac-O-Sc,70.19180131,7.569207409,14.03836026,-23.30793117,-3.724347497,FALSE,3.3847,8.3626,4.9779,5.11443989,TRUE,FALSE,FALSE,NM,7.43E-05,1.06E-06,7.43E-05,Cubic,4.125046,4.125046,4.125046,90,90,90,Ac,O,Sc,89,8,21
5,Ac-O-Si,62.57904784,8.042345508,12.51580957,-21.77562135,-2.716982231,FALSE,0,,,10.58456163,FALSE,TRUE,FALSE,NM,0.000274,4.38E-06,0.000274,Cubic,3.970175,3.970175,3.970175,90,90,90,Ac,O,Si,89,8,14
